publicid,eventtype,origintime,modificationtime,longitude, latitude, magnitude, depth,magnitudetype, depthtype,evaluationmethod, evaluationstatus, evaluationmode, earthmodel, usedphasecount,usedstationcount,magnitudestationcount, minimumdistance,azimuthalgap,originerror,magnitudeuncertainty
3268624,outside of network interest,2010-03-01T10:30:41.964Z,2013-07-09T16:00:00.000Z,-179.04449,-35.04395,,33,,operator assigned,GROPE,reviewed,,nz1dr,21,17,,3.302,282,0.12261,
3268622,earthquake,2010-03-01T10:27:00.892Z,2013-07-10T12:04:00.000Z,177.98737,-38.84407,2.006,32.8111,ML,,GROPE,reviewed,,nz1dr,7,4,2,0.114,261,0.06947,0.305
3268611,earthquake,2010-03-01T10:04:00.454Z,2013-07-09T16:00:00.000Z,167.53362,-44.79905,2.169,5,ML,operator assigned,GROPE,reviewed,,nz1dr,6,4,4,0.306,268,0.27619,0.203
3268587,earthquake,2010-03-01T08:48:57.621Z,2013-07-09T16:00:00.000Z,176.69498,-39.94772,3.065,50.6392,ML,,GROPE,reviewed,,nz1dr,46,41,19,0.154,73,0.21351,0.225
3268576,earthquake,2010-03-01T08:13:49.304Z,2013-07-09T16:00:00.000Z,176.71716,-37.83304,1.922,3,ML,operator assigned,GROPE,reviewed,,nz1dr,8,6,6,0.129,218,0.18014,0.089
3268567,earthquake,2010-03-01T07:46:49.740Z,2013-07-09T16:00:00.000Z,168.32629,-44.39175,2.757,5,ML,operator assigned,GROPE,reviewed,,nz1dr,10,7,6,0.403,181,0.26017,0.219
3268541,earthquake,2010-03-01T06:34:29.657Z,2013-07-09T16:00:00.000Z,175.80246,-40.41119,2.208,27.8688,ML,,GROPE,reviewed,,nz1dr,17,13,10,0.032,68,0.33086,0.175
3268524,earthquake,2010-03-01T05:48:27.590Z,2013-07-09T16:00:00.000Z,166.89705,-45.27911,2.486,23.8341,ML,,GROPE,reviewed,,nz1dr,6,3,5,0.260,320,0.09519,0.187
3268522,outside of network interest,2010-03-01T05:39:33.570Z,2013-07-09T16:00:00.000Z,-178.953,-34.29,4.9,10,Mb,operator assigned,GROPE,reviewed,,nz1dr,19,14,,3.952,344,0.19736,
3268521,earthquake,2010-03-01T05:37:00.057Z,2013-07-09T16:00:00.000Z,167.32103,-44.86103,2.514,5,ML,operator assigned,GROPE,reviewed,,nz1dr,7,4,5,0.617,274,0.08937,0.33
3268515,earthquake,2010-03-01T05:11:26.021Z,2013-07-09T16:00:00.000Z,178.86256,-38.32951,2.914,12,ML,operator assigned,GROPE,reviewed,,nz1dr,12,8,3,0.541,263,0.37719,0.174
3268510,earthquake,2010-03-01T04:54:53.529Z,2013-07-09T16:00:00.000Z,177.52127,-37.72599,2.613,42.1969,ML,,GROPE,reviewed,,nz1dr,11,7,4,0.210,225,0.1887,0.157
3268495,earthquake,2010-03-01T04:20:26.088Z,2013-07-09T16:00:00.000Z,175.43269,-39.26362,1.768,18.3717,ML,,GROPE,reviewed,,nz1dr,13,9,8,0.073,113,0.07249,0.188
3268494,earthquake,2010-03-01T04:18:37.431Z,2013-07-09T16:00:00.000Z,179.99268,-37.76113,2.968,33,ML,operator assigned,GROPE,reviewed,,nz1dr,11,7,4,1.252,317,0.14867,0.064
3268463,earthquake,2010-03-01T02:58:24.896Z,2013-07-10T12:04:00.000Z,178.04037,-38.66962,2.221,26.0886,ML,,GROPE,reviewed,,nz1dr,7,5,2,0.221,184,0.14556,0.221
3268458,earthquake,2010-03-01T02:42:13.321Z,2013-07-09T16:00:00.000Z,175.72426,-39.48125,1.944,14.6263,ML,,GROPE,reviewed,,nz1dr,14,11,11,0.076,152,0.14542,0.248
3268423,earthquake,2010-03-01T00:58:13.300Z,2013-07-09T16:00:00.000Z,172.87439,-41.38401,2.757,100.284,ML,,GROPE,reviewed,,nz1dr,11,7,3,0.380,92,0.27914,0.156
3283547,outside of network interest,2010-03-01T00:58:07.052Z,2013-07-09T16:20:00.000Z,179.9514,-34.63116,,33,,operator assigned,GROPE,reviewed,,nz1dr,9,5,,3.417,350,0.18934,
3268420,earthquake,2010-03-01T00:52:13.293Z,2013-07-09T16:00:00.000Z,176.96915,-38.2046,2.92,66.5135,ML,,GROPE,reviewed,,nz1dr,24,20,4,0.125,98,0.27421,0.093
3279450,earthquake,2010-03-01T00:49:18.239Z,2013-07-09T16:14:00.000Z,168.45216,-44.5495,2.505,86.0518,ML,,GROPE,reviewed,,nz1dr,9,4,5,0.490,266,0.26588,0.28
3268411,earthquake,2010-03-01T00:19:18.806Z,2013-07-09T16:00:00.000Z,174.42857,-41.60003,2.24,12,ML,operator assigned,GROPE,reviewed,,nz1dr,15,12,11,0.383,166,0.22971,0.25
3268409,earthquake,2010-03-01T00:12:19.665Z,2013-07-09T16:00:00.000Z,175.86679,-37.66661,3.552,277.2854,ML,,GROPE,reviewed,,nz1dr,10,7,2,1.522,236,0.36901,0.21
3268407,outside of network interest,2010-03-01T00:06:55.066Z,2013-07-09T16:00:00.000Z,179.427,-33.9644,,33,,operator assigned,GROPE,reviewed,,nz1dr,8,5,,3.935,349,0.23398,
3268406,earthquake,2010-03-01T00:03:49.414Z,2013-07-10T12:03:00.000Z,175.79977,-39.26469,2.162,62.3448,ML,,GROPE,reviewed,,nz1dr,12,8,3,0.148,153,0.24058,0.168
3268400,earthquake,2010-02-28T23:42:59.587Z,2013-07-09T14:57:00.000Z,171.1525,-43.54127,2.339,5,ML,operator assigned,GROPE,reviewed,,nz1dr,8,5,5,0.189,138,0.24933,0.46
3268379,earthquake,2010-02-28T22:37:58.395Z,2013-07-09T14:57:00.000Z,175.14461,-41.06566,2.978,29.5321,ML,,GROPE,reviewed,,nz1dr,40,32,21,0.073,45,0.19461,0.14
3268357,earthquake,2010-02-28T21:38:23.528Z,2013-07-09T14:57:00.000Z,176.51375,-37.99622,1.599,5,ML,operator assigned,GROPE,reviewed,,nz1dr,10,6,6,0.103,107,0.25647,0.165
3268348,earthquake,2010-02-28T21:09:34.363Z,2013-07-09T14:57:00.000Z,176.69104,-40.2742,2.386,12,ML,operator assigned,GROPE,reviewed,,nz1dr,15,12,9,0.043,191,0.28471,0.105
3268323,earthquake,2010-02-28T19:51:02.219Z,2013-07-10T11:13:00.000Z,173.07271,-41.30339,2.143,86.5442,ML,,GROPE,reviewed,,nz1dr,9,5,2,0.246,124,0.1151,0.045
3268311,earthquake,2010-02-28T19:12:49.252Z,2013-07-09T14:57:00.000Z,175.63913,-39.58018,1.964,12,ML,operator assigned,GROPE,reviewed,,nz1dr,12,7,7,0.193,247,0.11472,0.284
3268308,earthquake,2010-02-28T19:03:15.563Z,2013-07-09T14:57:00.000Z,176.70418,-40.28163,2.662,22.0219,ML,,GROPE,reviewed,,nz1dr,19,15,9,0.055,195,0.40463,0.129
3268302,earthquake,2010-02-28T18:44:50.398Z,2013-07-09T14:56:00.000Z,176.73836,-40.51534,3.037,25,ML,,GROPE,reviewed,,nz1dr,21,18,14,0.208,215,0.37838,0.19
3268301,earthquake,2010-02-28T18:41:06.157Z,2013-07-09T14:56:00.000Z,176.70358,-40.28333,2.187,12,ML,operator assigned,GROPE,reviewed,,nz1dr,11,7,7,0.055,195,0.2863,0.155
3268299,earthquake,2010-02-28T18:34:35.587Z,2013-07-09T14:56:00.000Z,176.7287,-40.32796,2.949,22.0013,ML,,GROPE,reviewed,,nz1dr,22,18,21,0.093,197,0.30555,0.141
3268296,earthquake,2010-02-28T18:28:48.236Z,2013-07-09T14:56:00.000Z,168.7572,-45.2177,2.361,5,ML,operator assigned,GROPE,reviewed,,nz1dr,11,7,7,0.390,110,0.26807,0.245
3268292,earthquake,2010-02-28T18:20:58.768Z,2013-07-09T14:56:00.000Z,170.10631,-44.05178,2.681,5,ML,operator assigned,GROPE,reviewed,,nz1dr,13,10,4,0.340,107,0.27158,0.167
3268285,earthquake,2010-02-28T17:57:51.661Z,2013-07-09T14:56:00.000Z,173.88626,-41.13011,1.991,67.7814,ML,,GROPE,reviewed,,nz1dr,7,4,2,0.304,180,0.23567,0.16
3268270,earthquake,2010-02-28T17:17:05.417Z,2013-07-09T14:56:00.000Z,174.96747,-39.88426,2.191,72.2312,ML,,GROPE,reviewed,,nz1dr,20,17,4,0.129,93,0.25731,0.261
3268255,earthquake,2010-02-28T16:35:11.506Z,2013-07-09T14:56:00.000Z,170.92813,-43.18987,2.674,5,ML,operator assigned,GROPE,reviewed,,nz1dr,10,6,5,0.180,91,0.35561,0.377
3268248,earthquake,2010-02-28T16:15:21.852Z,2013-07-09T14:56:00.000Z,175.75333,-38.7748,3.182,133.2469,ML,,GROPE,reviewed,,nz1dr,63,56,9,0.067,69,0.23679,0.115
3268245,earthquake,2010-02-28T16:04:21.419Z,2013-07-09T14:56:00.000Z,179.23605,-37.725,2.454,33,ML,operator assigned,GROPE,reviewed,,nz1dr,11,7,4,0.658,305,0.28965,0.094
3268223,earthquake,2010-02-28T14:46:43.306Z,2013-07-09T14:56:00.000Z,171.9613,-42.94676,2.758,12,ML,operator assigned,GROPE,reviewed,,nz1dr,11,6,6,0.385,112,0.23396,0.24
3268204,earthquake,2010-02-28T13:45:00.489Z,2013-07-09T14:56:00.000Z,167.01328,-45.7006,2.549,5,ML,operator assigned,GROPE,reviewed,,nz1dr,10,5,5,0.254,233,0.27492,0.209
3268184,earthquake,2010-02-28T12:41:30.623Z,2013-07-09T14:56:00.000Z,-179.50323,-39.07305,3.353,33,ML,operator assigned,GROPE,reviewed,,nz1dr,18,14,10,1.883,300,0.32569,0.294
3268183,earthquake,2010-02-28T12:37:28.542Z,2013-07-09T14:56:00.000Z,177.60065,-39.21808,2.179,30.0774,ML,,GROPE,reviewed,,nz1dr,15,11,8,0.202,149,0.30225,0.173
3268181,earthquake,2010-02-28T12:31:29.818Z,2013-07-09T14:56:00.000Z,174.37788,-41.10381,2.288,12,ML,operator assigned,GROPE,reviewed,,nz1dr,21,17,7,0.133,108,0.34958,0.089
3268179,earthquake,2010-02-28T12:24:41.989Z,2013-07-10T11:11:00.000Z,172.97906,-42.53746,2.074,57.5955,ML,,GROPE,reviewed,,nz1dr,11,7,2,0.433,117,0.27646,0.262
3279292,earthquake,2010-02-28T12:23:52.956Z,2013-07-09T14:59:00.000Z,179.32042,-35.88895,3.727,33,ML,operator assigned,GROPE,reviewed,,nz1dr,29,24,21,1.860,306,0.33874,0.239
3268177,earthquake,2010-02-28T12:16:44.428Z,2013-07-09T14:56:00.000Z,177.71974,-36.5861,3.373,5,ML,operator assigned,GROPE,reviewed,,nz1dr,10,7,5,1.083,319,0.24226,0.17
3268176,earthquake,2010-02-28T12:13:47.302Z,2013-07-09T14:56:00.000Z,166.89835,-45.46226,2.306,12,ML,operator assigned,GROPE,reviewed,,nz1dr,11,7,8,0.180,252,0.3384,0.164
3268166,earthquake,2010-02-28T11:40:18.148Z,2013-07-09T14:56:00.000Z,177.70476,-36.16651,4.042,197.4893,ML,,GROPE,reviewed,,nz1dr,34,29,14,1.476,313,0.24459,0.139
3268162,earthquake,2010-02-28T11:28:22.916Z,2013-07-09T14:56:00.000Z,178.26405,-38.17273,2.248,27.0368,ML,,GROPE,reviewed,,nz1dr,10,6,3,0.099,169,0.31506,0.242
3268154,earthquake,2010-02-28T10:55:38.715Z,2013-07-09T14:56:00.000Z,176.69507,-40.27032,2.029,12,ML,operator assigned,GROPE,reviewed,,nz1dr,11,7,6,0.046,193,0.30945,0.308
3268153,earthquake,2010-02-28T10:51:39.206Z,2013-07-10T11:07:00.000Z,178.05663,-38.66587,1.787,31.3422,ML,,GROPE,reviewed,,nz1dr,7,4,2,0.215,187,0.27235,0.303
3268143,earthquake,2010-02-28T10:18:34.677Z,2013-07-09T14:56:00.000Z,170.80042,-43.06666,2.529,5,ML,operator assigned,GROPE,reviewed,,nz1dr,9,7,9,0.857,153,0.24547,0.372
3268142,earthquake,2010-02-28T10:16:59.989Z,2013-07-09T14:56:00.000Z,167.39545,-44.8742,2.794,2,ML,operator assigned,GROPE,reviewed,,nz1dr,11,8,4,0.427,217,0.25022,0.127
3268141,earthquake,2010-02-28T10:15:20.826Z,2013-07-09T14:56:00.000Z,167.80582,-45.04755,2.829,30.2514,ML,,GROPE,reviewed,,nz1dr,10,7,7,0.382,146,0.34928,0.171
3268128,outside of network interest,2010-02-28T09:35:02.032Z,2013-07-09T14:56:00.000Z,-178.95389,-33.95823,,33,,operator assigned,GROPE,reviewed,,nz1dr,15,11,,4.232,344,0.23262,
3268103,earthquake,2010-02-28T08:35:55.636Z,2013-07-09T14:56:00.000Z,176.24652,-40.40115,1.819,24.1174,ML,,GROPE,reviewed,,nz1dr,9,5,6,0.118,125,0.22526,0.147
3268098,earthquake,2010-02-28T08:21:23.205Z,2013-07-09T14:56:00.000Z,176.70273,-40.26648,2.272,15.5876,ML,,GROPE,reviewed,,nz1dr,17,13,11,0.052,192,0.29224,0.201
3268091,earthquake,2010-02-28T08:02:09.552Z,2013-07-09T14:56:00.000Z,175.11516,-39.3042,2.494,106.7096,ML,,GROPE,reviewed,,nz1dr,18,13,2,0.180,202,0.1469,0.397
3268074,earthquake,2010-02-28T06:56:06.641Z,2013-07-09T14:56:00.000Z,178.35738,-38.23605,3.179,29.513,ML,,GROPE,reviewed,,nz1dr,23,20,9,0.181,195,0.24772,0.221
3268063,earthquake,2010-02-28T06:18:32.028Z,2013-07-09T14:56:00.000Z,175.04727,-39.87369,2.237,31.772,ML,,GROPE,reviewed,,nz1dr,29,24,20,0.127,120,0.21844,0.207
3268059,earthquake,2010-02-28T06:08:37.661Z,2013-07-09T14:56:00.000Z,166.12042,-46.39814,2.955,33,ML,operator assigned,GROPE,reviewed,,nz1dr,7,5,5,1.360,305,0.36807,0.369
3268042,earthquake,2010-02-28T05:14:41.293Z,2013-07-09T14:56:00.000Z,166.96484,-45.68442,4.3,89.4153,Mw,,GROPE,reviewed,,nz1dr,14,11,,0.255,242,0.19478,
